Event Description;Date Event Began;Time Event Began;Date of Restoration;Time of Restoration;Respondent;Geographic Areas;Demand Loss (MW);Number of Customers Affected;Tags
Severe Weather - Thunderstorms;7/24/2012;7:01;7/24/2012;16:30;Northern Indiana Public Service Company;Northern Indiana;Unknown;82621;severe weather, thunderstorm
Physical Attack, Vandalism;7/25/2013;13:10;7/25/2013;13:15;Tacoma Power (TPWR);Polk Substation, Tacoma Washington;Unknown;Unknown;vandalism, physical
Severe Weather - Thunderstorms;7/23/2013;23:38;7/25/2013;4:30;American Electric Power;Tulsa, Oklahoma;500;92748;severe weather, thunderstorm
Vandalism;7/26/2011;0:01;7/26/2011;0:01;Western Farmers Electric Cooperative;Backup Control Center, Oklahoma;0;0;vandalism
Vandalism;7/27/2011;0:07;7/27/2011;0:08;Tacoma Power (TPWR);Fife, Washington;Unknown;Unknown;vandalism
Severe Weather - Thunderstorms;7/26/2012;18:14;7/27/2012;18:14;FirstEnergy Corp.: Pennsylvania Electric Company;Western Pennsylvania;Unknown;65112;severe weather, thunderstorm
Severe Weather - Thunderstorms;7/26/2012;18:30;7/27/2012;17:22;American Electric Power (AEP);Eastern Ohio;Unknown;57054;severe weather, thunderstorm
Vandalism;7/28/2011;19:25;7/28/2011;19:25;City of Tacoma (TPWR);Spanaway, Washington;Unknown;Unknown;vandalism
Vandalism;7/28/2011;13:32;7/28/2011;13:32;Northern Indiana Public Service Company (NIPSCO);Indiana;Unknown;Unknown;vandalism
Severe Weather - Thunderstorms;7/27/2012;17:19;7/28/2012;17:19;Duke Energy Midwest;Central Indiana;Unknown;52702;severe weather, thunderstorm
Severe Weather - Thunderstorms;7/26/2012;18:21;7/28/2012;23:30;PPL Electric Utilities Corp;North/Central Pennsylvania;Unknown;65000;severe weather, thunderstorm
Vandalism;7/29/2011;11:46;7/29/2011;17:00;City of Tacoma (TPWR);Fredrickson, Washington;Unknown;Unknown;vandalism
Severe Weather;7/28/2011;0:14;7/29/2011;0:00;Exelon Corporation/ComEd;Entire ComEd Territory, Indiana;Unknown;201000;severe weather
Fuel Supply Deficiency (Coal);7/28/2011;7:26;7/29/2011;7:26;Owensboro Municipal Utilities;Daviess County, Kentucky;Unknown;Unknown;fuel supply emergency, coal
Severe Weather;7/1/2011;17:00;7/3/2011;20:00;Xcel Energy Northern States Power Company;Southwest and South Central Minnesota;Unknown;70000;severe weather
Severe Weather - Thunderstorms;7/1/2012;13:00;7/3/2012;15:00;Exelon Corporation/ComEd;Illinois;Unknown;320000;severe weather, thunderstorm
Severe Weather - Thunderstorms;6/30/2012;1:00;7/3/2012;1:00;Delmarva Power & Light Company;Delaware, Maryland;0;86390;severe weather, thunderstorm
Voltage Reduction, Line and Generator Trip;7/3/2013;0:04;7/3/2013;0:48;Puerto Rico Electric Power Authority;System-wide Puerto Rico;480;393000;voltage reduction, generator trip
Suspected Physical Attack;7/3/2013;9:34;7/3/2013;10:52;Sacramento Municipal Utility District;Sacramento California;0;0;vandalism, physical
Fuel Supply Deficiency (Coal);7/19/2012;10:30;7/31/2012;11:00;Somerset Operating Company;Niagara County, New York;675;Unknown;fuel supply emergency, coal
Severe Weather;7/4/2011;18:00;7/4/2011;21:00;Dominion Virginia Power;Virginia;150;51580;severe weather
Severe Weather - Thunderstorms;6/29/2012;14:10;7/4/2012;18:00;Dayton Power & Light;Dayton, Ohio;500;175000;severe weather, thunderstorm
Severe Weather - Thunderstorms;6/29/2012;22:29;7/4/2012;15:36;Dominion;Virginia;5000;880000;severe weather, thunderstorm
Vandalism;7/5/2011;10:40;7/5/2011;11:37;PacifiCorp;West Valley Substation Utah;0;0;vandalism
Severe Weather - Thunderstorms;6/29/2012;22:15;7/5/2012;0:52;Pepco;Montgomery and Prince Georges Counties, Maryland, District of Columbia;3000;425000;severe weather, thunderstorm
Severe Weather - Thunderstorms;6/29/2012;22:43;7/5/2012;11:50;Baltimore Gas & Electric Company (BGE);Greater Baltimore area, Maryland;1465;600000;severe weather, thunderstorm
Physical Attack, Vandalism;7/5/2013;0:05;7/5/2013;1:51;Pacific Gas & Electric Co;California;Unknown;2500;vandalism, physical
Load Shed 100+MW;7/2/2013;14:20;7/5/2013;15:30;Western Electricity Coordinating Council;Alberta, Canada;200;Unknown;load shedding
Vandalism;7/6/2011;9:51;7/6/2011;9:52;ISO New England;Vermont;Unknown;Unknown;vandalism
Severe Weather;7/2/2011;20:15;7/6/2011;22:00;Detroit Edison, Subsidiary of DTE Energy;South East, Lower Peninsula, Michigan;Unknown;182000;severe weather
Vandalism;7/6/2012;15:05;7/6/2012;15:06;City of Tacoma - TPWR;Tacoma, Washington;Unknown;Unknown;vandalism
Severe Weather - Thunderstorms;7/5/2012;0:00;7/6/2012;20:30;Consumers Energy;Lower Peninsula Michigan;Unknown;111000;severe weather, thunderstorm
Severe Weather - Wind & Storms;7/5/2012;19:00;7/6/2012;16:00;Tennessee Valley Authority (TVA);Northeast Tennessee;Unknown;50001;severe weather, wind, storm
Severe Weather - Thunderstorms;6/29/2012;18:24;7/6/2012;10:00;FirstEnergy (Mon Power);West Virginia;700;265000;severe weather, thunderstorm
Severe Weather - Thunderstorms;6/30/2012;1:15;7/7/2012;17:33;Atlantic City Electric;Atlantic City Electric Service Territory New Jersey;Unknown;205000;severe weather, thunderstorm
Severe Weather - Thunderstorms;6/29/2012;19:00;7/7/2012;19:43;FirstEnergy (Potomac Edison);Maryland, West Virginia;Unknown;145000;severe weather, thunderstorm
Vandalism;7/8/2011;10:00;7/8/2011;10:00;Minnesota Power;Saginaw, Minnesota;0;0;vandalism
Energy Deficiency Alert;7/9/2012;12:15;7/9/2012;16:14;WECC RC Vancouver;Alberta, Canada;9896;Unknown;energy deficiency alert
Severe Weather - Thunderstorms;7/7/2012;6:06;7/9/2012;23:00;PPL Electric Utilities Corp;Lower Valley, Central, Susquehanna Regions Pennsylvania;Unknown;64500;severe weather, thunderstorm
Severe Weather - Thunderstorms;7/7/2012;18:00;7/9/2012;19:01;FirstEnergy Corp. Jersey Central Power & Light;Central and Northern New Jersey;Unknown;95400;severe weather, thunderstorm
Vandalism;8/1/2011;14:18;8/1/2011;14:18;PacificCorp;Jefferson, Oregon;Unknown;Unknown;vandalism
Severe Weather;7/29/2011;20:45;8/1/2011;4:24;FirstEnergy Corp: Jersey Central Power & Light;Central New Jersey;Unknown;67900;severe weather
Public Appeal to Reduce Electricity Usage;8/1/2012;0:00;8/1/2012;0:00;Oklahoma Gas & Electric Co;Oklahoma, Arkansas;Unknown;Unknown;public appeal
